skip,take,totalCount,records
0,100,4522,"{'event': {'startDate': '2023-07-24T10:00:00+02:00', 'endDate': '2023-07-24T10:00:00+02:00'}, 'location': {'decimalLatitude': 65.88017, 'decimalLongitude': 21.67276}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-08T07:29:00+02:00', 'endDate': '2023-08-08T07:29:00+02:00'}, 'location': {'decimalLatitude': 64.62755, 'decimalLongitude': 16.64744}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-31T16:00:00+02:00', 'endDate': '2023-07-31T16:00:00+02:00'}, 'location': {'decimalLatitude': 65.53066, 'decimalLongitude': 21.91825}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-31T21:00:00+02:00', 'endDate': '2023-07-31T21:00:00+02:00'}, 'location': {'decimalLatitude': 63.17839, 'decimalLongitude': 14.61272}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-30T12:00:00+02:00', 'endDate': '2023-07-30T12:00:00+02:00'}, 'location': {'decimalLatitude': 60.4752, 'decimalLongitude': 15.44641}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-31T08:29:00+02:00', 'endDate': '2023-07-31T08:29:00+02:00'}, 'location': {'decimalLatitude': 60.29287, 'decimalLongitude': 15.91095}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-25T16:02:00+02:00', 'endDate': '2023-07-25T20:30:00+02:00'}, 'location': {'decimalLatitude': 58.44411, 'decimalLongitude': 14.35938}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-18T17:00:00+02:00', 'endDate': '2023-07-18T17:00:00+02:00'}, 'location': {'decimalLatitude': 59.61212, 'decimalLongitude': 15.24192}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-06T11:38:00+02:00', 'endDate': '2023-07-06T11:44:00+02:00'}, 'location': {'decimalLatitude': 60.50976, 'decimalLongitude': 15.41496}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-07T07:41:00+02:00', 'endDate': '2023-07-07T07:41:00+02:00'}, 'location': {'decimalLatitude': 65.77376, 'decimalLongitude': 21.72571}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-30T09:07:00+02:00', 'endDate': '2023-08-30T11:41:00+02:00'}, 'location': {'decimalLatitude': 58.56634, 'decimalLongitude': 15.02521}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-17T00:00:00+02:00', 'endDate': '2023-08-17T23:59:59+02:00'}, 'location': {'decimalLatitude': 57.07103, 'decimalLongitude': 14.68533}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-30T10:00:00+02:00', 'endDate': '2023-08-30T12:00:00+02:00'}, 'location': {'decimalLatitude': 56.762, 'decimalLongitude': 14.58927}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-16T08:00:00+02:00', 'endDate': '2023-08-16T08:00:00+02:00'}, 'location': {'decimalLatitude': 57.2479, 'decimalLongitude': 14.89669}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-05-25T00:00:00+02:00', 'endDate': '2023-05-25T23:59:59+02:00'}, 'location': {'decimalLatitude': 59.95792, 'decimalLongitude': 17.98058}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-26T12:00:00+02:00', 'endDate': '2023-08-26T12:00:00+02:00'}, 'location': {'decimalLatitude': 65.88017, 'decimalLongitude': 21.67276}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-03T18:10:00+02:00', 'endDate': '2023-08-03T18:10:00+02:00'}, 'location': {'decimalLatitude': 63.80588, 'decimalLongitude': 20.30387}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-14T06:58:00+02:00', 'endDate': '2023-08-14T06:58:00+02:00'}, 'location': {'decimalLatitude': 57.96211, 'decimalLongitude': 15.67162}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-15T12:18:00+02:00', 'endDate': '2023-08-15T12:18:00+02:00'}, 'location': {'decimalLatitude': 65.06339, 'decimalLongitude': 14.80169}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-14T16:07:00+02:00', 'endDate': '2023-08-14T16:07:00+02:00'}, 'location': {'decimalLatitude': 62.53879, 'decimalLongitude': 17.1412}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-31T06:43:00+02:00', 'endDate': '2023-08-31T07:45:00+02:00'}, 'location': {'decimalLatitude': 58.45299, 'decimalLongitude': 13.72361}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-03-03T00:00:00+01:00', 'endDate': '2023-03-03T23:59:59+01:00'}, 'location': {'decimalLatitude': 59.27456, 'decimalLongitude': 12.57606}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-15T10:56:00+02:00', 'endDate': '2023-08-15T10:56:00+02:00'}, 'location': {'decimalLatitude': 57.76477, 'decimalLongitude': 12.8407}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-28T00:00:00+02:00', 'endDate': '2023-08-28T23:59:59+02:00'}, 'location': {'decimalLatitude': 65.66955, 'decimalLongitude': 21.05176}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-30T12:22:00+02:00', 'endDate': '2023-08-30T12:22:00+02:00'}, 'location': {'decimalLatitude': 65.81489, 'decimalLongitude': 21.59595}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-16T08:30:00+02:00', 'endDate': '2023-08-16T08:31:00+02:00'}, 'location': {'decimalLatitude': 60.14083, 'decimalLongitude': 14.4198}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-16T08:57:00+02:00', 'endDate': '2023-08-16T08:57:00+02:00'}, 'location': {'decimalLatitude': 59.65694, 'decimalLongitude': 12.4765}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-16T09:20:00+02:00', 'endDate': '2023-07-16T10:15:00+02:00'}, 'location': {'decimalLatitude': 63.86513, 'decimalLongitude': 20.26134}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-14T07:30:00+02:00', 'endDate': '2023-07-14T09:00:00+02:00'}, 'location': {'decimalLatitude': 60.67193, 'decimalLongitude': 17.13326}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-06T07:30:00+02:00', 'endDate': '2023-08-06T10:15:00+02:00'}, 'location': {'decimalLatitude': 59.615, 'decimalLongitude': 12.29478}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-08T14:32:00+02:00', 'endDate': '2023-08-08T14:59:00+02:00'}, 'location': {'decimalLatitude': 60.64811, 'decimalLongitude': 17.00941}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-01T14:00:00+02:00', 'endDate': '2023-08-01T14:00:00+02:00'}, 'location': {'decimalLatitude': 65.88017, 'decimalLongitude': 21.67276}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-02T16:31:00+02:00', 'endDate': '2023-07-02T16:31:00+02:00'}, 'location': {'decimalLatitude': 57.309, 'decimalLongitude': 13.94017}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-21T10:02:00+02:00', 'endDate': '2023-07-21T10:02:00+02:00'}, 'location': {'decimalLatitude': 61.83143, 'decimalLongitude': 16.0688}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-21T10:11:00+02:00', 'endDate': '2023-07-21T10:11:00+02:00'}, 'location': {'decimalLatitude': 61.82919, 'decimalLongitude': 16.08866}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-20T14:30:00+02:00', 'endDate': '2023-07-20T14:30:00+02:00'}, 'location': {'decimalLatitude': 57.52146, 'decimalLongitude': 12.66436}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-22T07:15:00+02:00', 'endDate': '2023-07-22T12:30:00+02:00'}, 'location': {'decimalLatitude': 59.814, 'decimalLongitude': 18.01373}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
